1Malignant,2Benign,x,y
0.9985954165458679,0.001404520939104259,0,0
0.9205408096313477,0.07945913076400757,48,0
0.9997959733009338,0.00020415046310517937,96,0
0.9704725742340088,0.029527487233281136,144,0
0.8215681910514832,0.17843179404735565,192,0
0.9985968470573425,0.00140309554990381,240,0
0.5049904584884644,0.49500954151153564,288,0
0.9998550415039062,0.00014497940719593316,336,0
0.9593886137008667,0.040611449629068375,384,0
0.9918960928916931,0.00810406357049942,432,0
0.9996910691261292,0.0003089885285589844,480,0
0.9214723110198975,0.07852774113416672,528,0
0.2374163717031479,0.7625836730003357,576,0
0.07835043966770172,0.9216495752334595,624,0
0.03925777226686478,0.960742175579071,672,0
0.5763614773750305,0.4236384928226471,0,48
0.2515996992588043,0.7484003305435181,48,48
0.9997358322143555,0.00026396839530207217,96,48
0.9662612676620483,0.033738717436790466,144,48
0.9012744426727295,0.09872554987668991,192,48
0.9396805763244629,0.06031951308250427,240,48
0.8605049848556519,0.13949503004550934,288,48
0.9981753826141357,0.0018246319377794862,336,48
0.9866987466812134,0.013301336206495762,384,48
0.9872606992721558,0.012739314697682858,432,48
0.9999923706054688,0.00000785518204793334,480,48
0.9984948039054871,0.001505285850726068,528,48
0.1547650545835495,0.8452348709106445,576,48
0.12220651656389236,0.877793550491333,624,48
0.0410650372505188,0.958935022354126,672,48
0.9995564222335815,0.0004436174640432,0,96
0.9996717572212219,0.00032814074074849486,48,96
0.9989041686058044,0.0010958799393847585,96,96
0.9998233318328857,0.00017670393572188914,144,96
0.9997449517250061,0.000254981336183846,192,96
0.9991934895515442,0.0008063483983278275,240,96
0.9947522878646851,0.005247656721621752,288,96
0.8979324698448181,0.10206752270460129,336,96
0.9999995827674866,3.478810413071187e-7,384,96
0.9735645055770874,0.026435470208525658,432,96
0.9999828934669495,0.0000172339550772449,480,96
0.9401842355728149,0.05981587618589401,528,96
0.6634129881858826,0.33658698201179504,576,96
0.12798455357551575,0.8720154762268066,624,96
0.17836996912956238,0.8216301202774048,672,96
0.8476992845535278,0.15230076014995575,0,144
0.9282453656196594,0.07175467163324356,48,144
0.8986295461654663,0.10137058794498444,96,144
0.9921927452087402,0.007807334419339895,144,144
0.48178887367248535,0.5182111263275146,192,144
0.8489846587181091,0.15101541578769684,240,144
0.8251461386680603,0.17485399544239044,288,144
0.9969529509544373,0.0030471414793282747,336,144
0.9475741386413574,0.05242588743567467,384,144
0.9959613084793091,0.004038820043206215,432,144
0.9996715188026428,0.000328540540067479,480,144
0.08949819952249527,0.9105018973350525,528,144
0.3875957727432251,0.6124042272567749,576,144
0.2539704144001007,0.7460294961929321,624,144
0.06434562057256699,0.9356544613838196,672,144
0.996811032295227,0.0031890557147562504,0,192
0.9866592884063721,0.013340825214982033,48,192
0.9800156354904175,0.019984474405646324,96,192
0.9976972937583923,0.002302742563188076,144,192
0.05291193351149559,0.9470880031585693,192,192
0.5806440711021423,0.4193558990955353,240,192
0.9999966621398926,0.0000032126629321282962,288,192
0.9482116103172302,0.051788341253995895,336,192
